Year,Month,CrudePalmOil ,SoyabeanOil 
2006,Jan,600,532
2006,Feb,634,535
2006,Mar,682,539
2006,Apr,732,540
2006,May,884,588
2006,Jun,992,601
2006,Jul,870,630
2006,Aug,762,629
2006,Sep,662,602
2006,Oct,660,615
2006,Nov,547,675
2006,Dec,583,699
2007,Jan,632,697
2007,Feb,698,714
2007,Mar,712,718
2007,Apr,780,761
2007,May,865,788
2007,Jun,972,831
2007,Jul,994,885
2007,Aug,1054,909
2007,Sep,1100,959
2007,Oct,1164,1012
2007,Nov,1194,1139
2007,Dec,1106,1164
2008,Jan,1059,1276
2008,Feb,984,1426
2008,Mar,884,1476
2008,Apr,847,1425
2008,May,762,1436
2008,Jun,684,1537
2008,Jul,670,1511
2008,Aug,674,1323
2008,Sep,771,1226
2008,Oct,900,928
2008,Nov,985,824
2008,Dec,1108,738
2009,Jan,1264,791
2009,Feb,1299,748
2009,Mar,1011,727
2009,Apr,984,800
2009,May,874,892
2009,Jun,726,896
2009,Jul,692,836
2009,Aug,700,886
2009,Sep,756,846
2009,Oct,832,897
2009,Nov,965,931
2009,Dec,1025,933
2010,Jan,1109,924
2010,Feb,1165,915
2010,Mar,1254,920
2010,Apr,1300,902
2010,May,1381,865
2010,Jun,1400,859
2010,Jul,807,907
2010,Aug,905,1002
2010,Sep,912,1042
2010,Oct,984,1154
2010,Nov,1109,1141
2010,Dec,1229,1232
2011,Jan,1281,1374
2011,Feb,1292,1365
2011,Mar,1180,1307
2011,Apr,1149,1314
2011,May,1159,1294
2011,Jun,1133,1324
2011,Jul,1088,1337
2011,Aug,1083,1330
2011,Sep,1068,1309
2011,Oct,994,1220
2011,Nov,857,1217
2011,Dec,832,1203
2012,Jan,798,1218
2012,Feb,698,1255
2012,Mar,674,1287
2012,Apr,776,1310
2012,May,898,1218
2012,Jun,998,1178
2012,Jul,1015,1239
2012,Aug,1122,1249
2012,Sep,1234,1288
2012,Oct,1289,1175
2012,Nov,1300,1140
2012,Dec,1310,1163
2013,Jan,954,1190
2013,Feb,863,1175
2013,Mar,854,1116
2013,Apr,842,1095
2013,May,849,1074
2013,Jun,861,1043
2013,Jul,833,995
2013,Aug,828,997
2013,Sep,820,1024
2013,Oct,859,987
2013,Nov,921,996
2013,Dec,912,989
2014,Jan,865,943
2014,Feb,906,983
2014,Mar,961,1002
2014,Apr,1100,999
2014,May,1184,966
2014,Jun,1209,936
2014,Jul,1263,888
2014,Aug,1298,857
2014,Sep,1300,851
2014,Oct,1280,835
2014,Nov,1103,830
2014,Dec,1074,820
2015,Jan,985,799
2015,Feb,963,773
2015,Mar,854,748
2015,Apr,756,749
2015,May,658,781
2015,Jun,671,793
2015,Jul,636,753
2015,Aug,551,730
2015,Sep,538,727
2015,Oct,584,742
2015,Nov,558,726
2015,Dec,568,761
2016,Jan,565,726
2016,Feb,640,758
2016,Mar,686,761
2016,Apr,722,796
2016,May,706,791
2016,Jun,683,798
2016,Jul,651,789
2016,Aug,736,814
2016,Sep,756,829
2016,Oct,716,858
2016,Nov,751,880
2016,Dec,788,907
2017,Jan,809,872
2017,Feb,774,835
2017,Mar,736,813
2017,Apr,685,790
2017,May,727,827
2017,Jun,677,827
2017,Jul,663,834
2017,Aug,674,855
2017,Sep,724,883
2017,Oct,721,867
2017,Nov,716,881
2017,Dec,672,866
2018,Jan,677,864
2018,Feb,663,842
2018,Mar,681,834
2018,Apr,664,827
2018,May,660,793
2018,Jun,634,786
2018,Jul,590,775
2018,Aug,561,766
2018,Sep,551,757
2018,Oct,,
2018,Nov,,
2018,Dec,,
